SubjectEntityID,SubjectEntity,ObjectEntitiesID,ObjectEntities,Relation,CoT
Q656165,Halliburton,['Q13677'],['New York Stock Exchange'],companyTradesAtStockExchange,"<think> Halliburton is one of the largest oil field service companies in the world, operating globally to provide technology and services for oil and gas exploration and production. As a major corporation, it is publicly traded on the New York Stock Exchange (NYSE). </think> New York Stock Exchange"
Q4520771,Valentina Sharykina,[],[],personHasCityOfDeath,"<think> Valentina Dmitrievna Sharykina is a Soviet and Russian stage and film actress. She played in some movies in the early 2000. Since there is no known record of her passing, she is likely still alive. </think> None"
Q303207,Ricky Nelson,['Q16557'],['Dallas'],personHasCityOfDeath,"<think> Ricky Nelson was an American musician and actor. He is known for his country rock style. He lived in Los Angeles but died in an aircraft crash near Dallas, Texas. </think> Dallas"
Q11719303,Jan Turski,['Q270'],['Warsaw'],personHasCityOfDeath,"<think> Jan Turski was a Polish politician and diplomat. He was born in 1940 and died in Warsaw in 2016. </think> Warsaw"
Q1782281,Konrad Rufus Müller,[],[],personHasCityOfDeath,"<think> Konrad Rufus Müller is a German photographer renowned for his black-and-white portraits of German politicians until Angela Merkel. I don’t have information suggesting that he has passed away. </think> None"
Q100015,Gaddafi Stadium in Lahore,['60000'],['60000'],hasCapacity,"<think> Gaddafi Stadium is a major cricket stadium located in Lahore, Pakistan. Named after former Libyan leader Muammar Gaddafi, it is one of the largest cricket stadiums in Pakistan and serves as the home ground for the Pakistan national cricket team. The stadium has undergone several renovations and expansions since its construction, with its current capacity being designed to accommodate 60,000 spectators, making it one of the largest cricket venues in the world. </think> 60000"
Q100007,Zhongshan Sports Center Stadium in Guangdong,['12000'],['12000'],hasCapacity,"<think> Zhongshan Sports Center Stadium is a multi-purpose sports facility located in Guangdong Province, China. As part of a larger sports complex, this stadium is designed to host various sporting events including football matches and athletics competitions. It held some FIFA Women's World Cup matches. The stadium represents typical mid-sized sports infrastructure found in Chinese cities, with a maximum capacity of 12,000 spectators, which allows it to serve both local sporting events and community gatherings effectively. </think> 12000"
Q100010,DSC Hockey Stadium in Emirate of Dubai,['5000'],['5000'],hasCapacity,"<think> DSC Hockey Stadium is a specialized field hockey facility located in the Emirate of Dubai, United Arab Emirates. Unlike large multi-purpose stadiums, hockey stadiums typically have smaller capacities due to the nature and popularity of the sport. The DSC Hockey Stadium has a seating capacity of 5,000 spectators. </think> 5000"
Q1048284,Wellington Island,['5556']","['5556'],hasArea,"<think> Wellington Island is located in southern Chile. It is one of the larger islands in the Chilean archipelago and it is characterized by rugged terrain and fjords. It is sparsely populated due to its remote location and harsh climate conditions. Wellington Island has a total area of 5,556 square kilometers. </think> 5556"
Q36,Poland,['312683'],['312683'],hasArea,"<think> Poland is a country located in Central Europe. It is one of the larger European countries by land area, encompassing diverse geographical features including plains, mountains (Carpathians and Sudetes), and coastal regions. The total area of Poland is 312,683 square kilometers. </think> 312683"
Q211182,Heimaey,['13.4'],['13.4'],hasArea,"<think> Heimaey is the largest and only populated island in the Westman Islands (Vestmannaeyjar) archipelago, located off the southern coast of Iceland. Despite its small size, Heimaey is famous for being geologically active. The island has a total area of 13.4 square kilometers. </think> 13.4"
